job_title,company_name,job_summary,job_link,job_tech_stack
Data Analyst Intern - Diákmunka,Mind-Diák Szövetkezet,"Showing ownership and contributing to team’s target deliverables Proactively communicating assignment progress (status, challenges, success) to team members, supervisors, and stakeholders Organizing and combining data input from multiple sources to produce internal recurring and...",https://www.profession.hu/allas/data-analyst-intern-diakmunka-mind-diak-szovetkezet-2252908?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['ANALYTICS', 'PYTHON', 'LINUX', 'UNIX', 'SQL', 'WORD', 'OUTLOOK']"
Senior IT Üzleti Tervező és Architekt (Központi Rendszerek),Magyar Posta Zrt.,Dunavirág utca 2-6. XIII. kerület Budapest It üzleti elemző Részt vesz az informatikai stratégia...,https://www.profession.hu/allas/senior-it-uzleti-tervezo-es-architekt-kozponti-rendszerek-magyar-posta-zrt-budapest-2250339?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['ENTERPRISE ARCHITECT', 'UML']"
BI fejlesztési szakértő (Budapest),E.ON Energiamegoldások Korlátolt Felelősségű Társaság,"BI fejlesztési csapat szakmai irányítása, fejlesztői csapat munkájának koordinálása (2-4 fő) BI solution architekt szerepkör: BI megoldások tervezése, fejlesztési projektek vezetése Adattárház üzemeltetési koncepció kialakítása, működtetése Adatbázis, big data és jövőbeli technol...",https://www.profession.hu/allas/bi-fejlesztesi-szakerto-budapest-e-on-energiamegoldasok-korlatolt-felelossegu-tarsasag-2247990?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['BI', 'ADATTÁRHÁZ', 'SQL', 'AZURE']"
Data Analyst - Applications Services Enterprise,GIVAUDAN BUSINESS SOLUTIONS KFT.,"Data Analyst - Your future role?   As a Data Analyst in Budapest, you will support our Production Systems in cooperation with Master Data Management to improve its efficiency and capability. You will report to the Enterprise Data APS Platform Lead.   You will: - Resolve problems...",https://www.profession.hu/allas/data-analyst-applications-services-enterprise-givaudan-business-solutions-kft-budapest-2241158?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
IT megfelelőségi munkatárs,Egis Gyógyszergyár Zrt,"A validáláshoz kapcsolódó szabályozási környezet nyomonkövetése DATA integrity guidelinek (EU GxP, FDA... ismeret, Data Integrity guideok ismerettel rendelkezel Középfokú angol nyelvtudásodat szívesen... ; Tester, Test Engineer; System Integrator; IT Development; English; junior; General work schedule ...",https://www.profession.hu/allas/it-megfelelosegi-munkatars-egis-gyogyszergyar-zrt-2246678?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Technical support engineer,Pannonjob Kft.,Engineers apply advanced troubleshooting techniques to provide unique solutions for our customers and lead customer interactions by thoughtfully working with them to dive deep into the issue and get the root cause Interact with leading engineers around the world Partner with CLOU...,https://www.profession.hu/allas/technical-support-engineer-pannonjob-kft-budapest-2251912?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Lead Test Automation Engineer - AI project,evosoft Hungary Kft.,"Techniqual lead of the test framework developement team Test automation framework development / maintenance (docker, gitlab, python, robotframework) Maintaining and configuring a test environment Helping developers and test experts with testing expertise and mindset Professional...",https://www.profession.hu/allas/lead-test-automation-engineer-ai-project-evosoft-hungary-kft-2259919/pro?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['DOCKER', 'PYTHON', 'TESTING', 'ROBOT', 'AWS', 'AZURE', 'CLOUD', 'VIRTUALIZATION', 'API', 'SELENIUM', 'TEST AUTOMATION', 'SOFTWARE TESTING', 'ROBOT FRAMEWORK', 'MACHINE LEARNING']"
Senior Software Engineer (C# / Python),Unisys,"Analyzes, designs, programs, debugs, and modifies software enhancements and/or new products used in local, networked, cloud-based or Internet-related computer programs. Code may be used in commercial or end-user applications, such as materials management, financial management, HR...",https://www.profession.hu/allas/senior-software-engineer-c-python-unisys-2247093?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Senior Software Engineer (Connected Navigation),aiMotive Kft.,"Understand requirements between systems and be able to translate them into well-balanced technical designs that can be implemented in an iterative approach enabling agility. Deliver a best-in-class operational excellence by implementing observability (e.g. alerting, metrics) as a...",https://www.profession.hu/allas/senior-software-engineer-connected-navigation-aimotive-kft-2255129?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['CLOUD', 'SECURITY', 'JAVA', 'C++', 'NODE.JS', 'PYTHON', 'AWS', 'DEVOPS']"
Service Hub Owner (ND),Tech People Hungary Kft.,"As the Service Hub Owner, you will lead a global team of approximately 300 talented individuals, with a budget responsibility of over 15 million EUR. Your strategic vision and hands-on leadership will be instrumental in modernizing and automating our user support services, ensuri...",https://www.profession.hu/allas/service-hub-owner-nd-tech-people-hungary-kft-budapest-2253879?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,['ITIL']
